Escola,Endereco,Latitude,Longitude
EEFM RAIMUNDO TOMAZ,"JOSE CARLOS GADELHA 790 - TAPERA, Fortaleza, Ceará, Brasil",-3.9515609,-38.3492723
EEFM TELINA MATOS PIRES,"RUA FRANCISCO CAMARA 70 - CENTRO, Fortaleza, Ceará, Brasil",,
EEM BRANCA CARNEIRO DE MENDONÇA,"PRACA DA MATRIZ 666 - CENTRO, Fortaleza, Ceará, Brasil",,
EEFM JOSÉ MARIA PONTES DA ROCHA,"RUA OITO SN - TABAPUÁ, Fortaleza, Ceará, Brasil",-3.7415365,-38.6124139
EEFM PRESIDENTE JOSÉ SARNEY,"AVENIDA CENTRAL OESTE 262 - ARATURI, Fortaleza, Ceará, Brasil",-3.7666386,-38.636224
EEM ANA BEZERRA DE SÁ,"AVENIDA AYRTON SENNA 130 - CENTRO, Fortaleza, Ceará, Brasil",-3.8905443,-38.4560752
EEFM MANUEL FERREIRA DA SILVA,"RUA ELIEZER PARRIAO 105 - MANGABEIRA, Fortaleza, Ceará, Brasil",-3.8433502,-38.4297932
EEM PERBOYRE E SILVA,"BR116 KM 17 0 - PEDRAS, Fortaleza, Ceará, Brasil",,
EEFM DOM ALOÍSIO LORSCHEIDER,"AV CONTORNO OESTE s/n - NOVA METROPOLE, Fortaleza, Ceará, Brasil",-3.7745532,-38.6542897
EEM ANTONIO GERALDO DE LIMA,"ISAAC NEWTON CAMPOS 337 - PARQUE ANTONIO MIGUEL, Fortaleza, Ceará, Brasil",-3.9713384,-38.5240104
CEJA ADELINO ALCÂNTARA FILHO,"RUA 612 SN - CONJUNTO CEARA I, Fortaleza, Ceará, Brasil",-3.7646276,-38.6031897
EEFM ANTÔNIO BEZERRA,"RUA.PE. PERDIGAO SAMPAIO 780 - ANTONIO BEZERRA, Fortaleza, Ceará, Brasil",-3.7441826,-38.5944123
EEFM ANTÔNIO SALES,"RUA - PROFESSOR ANACLETO 630 - PARQUELANDIA, Fortaleza, Ceará, Brasil",-3.7362176,-38.552642
EEFM ANTONIETA SIQUEIRA,"RUA GUARANI 4 - PICI, Fortaleza, Ceará, Brasil",-3.7580392,-38.5774368
CEJA PROFESSOR GILMAR MAIA DE SOUSA,"RUA ESTEFANIA SALGADO 80 - CENTRO, Fortaleza, Ceará, Brasil",-3.724983,-38.5355782
EEFM CLÁUDIO MARTINS,"RUA DEMOCRITO ROCHA 400 - MONTE CASTELO, Fortaleza, Ceará, Brasil",-3.7259132,-38.55099
EEFM MONSENHOR DOURADO,"AV SARGENTO HERMINIO 4600 - PADRE ANDRADE, Fortaleza, Ceará, Brasil",-3.7316741,-38.5808872
EEFM ESTADO DE ALAGOAS,"AV. FRANCISCO SÁ 6623 - BARRA DO CEARA, Fortaleza, Ceará, Brasil",-3.7092497,-38.5835279
EEFM PROFESSORA BALBINA JUCÁ DE ALBUQUERQUE,"AVENIDA MAJOR ASSIS 346 - JARDIM IRACEMA, Fortaleza, Ceará, Brasil",-3.7239813,-38.5837364
EEFM SANTO AFONSO,"GENERAL BERNARDO FIGUEIREDO 2670 - PARQUELANDIA, Fortaleza, Ceará, Brasil",,
EEFM GENERAL EUDORO CORRÊA,"RUA JULIO BRAGA 101A - PARANGABA, Fortaleza, Ceará, Brasil",-3.7777299,-38.5738287
EEFM DEPUTADO FRANCISCO DE ALMEIDA MONTE,"AV CORONEL CARVALHO 2400 - JARDIM GUANABARA, Fortaleza, Ceará, Brasil",-3.7230212,-38.5867055
EEFM FÉLIX DE AZEVEDO,"RUA MONSENHOR FURTADO 757 - RODOLFO TEOFILO, Fortaleza, Ceará, Brasil",-3.7457269,-38.548495
EEFM FERNANDO CAVALCANTE MOTA,"RUA DA SALEMA 85 - BARRA DO CEARA, Fortaleza, Ceará, Brasil",-3.699655,-38.5777064
EEFM GOVERNADOR FLÁVIO MARCÍLIO,"AV PASTEUR 575 - PIRAMBU, Fortaleza, Ceará, Brasil",-3.7109752,-38.5583483
CENTRO EDUCACIONAL DOM HÉLIO CAMPOS,"RUA SAO RAIMUNDO 199 - PIRAMBU, Fortaleza, Ceará, Brasil",-3.7095799,-38.5531523
CEJA MONSENHOR HÉLIO CAMPOS,"AV. MONSENHOR HELIO CAMPOS 251 - CRISTO REDENTOR, Fortaleza, Ceará, Brasil",-3.7056607,-38.5652585
EEFM HERÁCLITO DE CASTRO E SILVA,"R SILVEIRA FILHO 808 - JOQUEI CLUBE, Fortaleza, Ceará, Brasil",-3.7687513,-38.5749209
EEFM HERMINO BARROSO,"RUA PE GUILHERME WASSEN 800 - PARQUE RIO BRANCO, Fortaleza, Ceará, Brasil",,
EEFM DONA HILZA DIOGO DE OLIVEIRA,"DOM ALOISIO LORSHEIDER 1040 - VILA VELHA, Fortaleza, Ceará, Brasil",,
EEF JESUS MARIA JOSÉ,"RUA DA MANGUEIRA 134 - QUINTINO CUNHA, Fortaleza, Ceará, Brasil",-3.7321461,-38.6012397
EEEP JOAQUIM NOGUEIRA,"RUA DR. MOREIRA DE SOUSA 327 - PARQUELANDIA, Fortaleza, Ceará, Brasil",,
EEFM JOSÉ BEZERRA DE MENEZES,"RUA. ANARIO BRAGA 200 - ANTONIO BEZERRA, Fortaleza, Ceará, Brasil",-3.7380884,-38.5881423
EEFM SÃO JOSÉ DOS ARPOADORES,"RUA DONA MENDINHA 90 - CRISTO REDENTOR, Fortaleza, Ceará, Brasil",-3.7030479,-38.5693305
EEFM JOSÉ VALDO RIBEIRO RAMOS,"RUA PEDRO AMERICO 100 - CARLITO PAMPLONA, Fortaleza, Ceará, Brasil",,
EEEP JÚLIA GIFFONI,"RUA CEL MATOS DOURADO 1349 - PICI, Fortaleza, Ceará, Brasil",-3.7484834,-38.5841782
EEFM LIONS JANGADA,"RUA CAMELIA 352 - CRISTO REDENTOR, Fortaleza, Ceará, Brasil",-3.7083767,-38.5647325
EEFM DONA MARIA MENEZES DE SERPA,"RUA DR QUIXADA FELICIO 141 - VILA VELHA, Fortaleza, Ceará, Brasil",-3.7094036,-38.5977365
EEM MARIANO MARTINS,"AV SENADOR FERNANDES TAVORA 1445 - HENRIQUE JORGE, Fortaleza, Ceará, Brasil",-3.7582836,-38.5895468
EEEP MARWIN,"AV. MONS. HELIO CAMPOS S/N - CRISTO REDENTOR, Fortaleza, Ceará, Brasil",-3.7060977,-38.5639398
CENTRO EDUCACIONAL MOEMA TÁVORA,"RUA MARCILIO DIAS 485 - PIRAMBU, Fortaleza, Ceará, Brasil",-3.712199,-38.5500944
EEFM PATRONATO SAGRADA FAMÍLIA,"RUA MARTINS NETO 379 - ANTONIO BEZERRA, Fortaleza, Ceará, Brasil",-3.7407451,-38.5891017
EEFM SALES CAMPOS,"RUA JACINTO DE MATOS 730 - JACARECANGA, Fortaleza, Ceará, Brasil",,
EEFM WALDEMAR FALCÃO,"RUA ANTONIO JOAQUIM DE CARVALHO 19 - ALVARO WEYNE, Fortaleza, Ceará, Brasil",-3.7171597,-38.5704948
CAIC RAIMUNDO GOMES DE CARVALHO,"RUA PROFESSOR EDGAR DE RRUDA 1683 - DOM LUSTOSA, Fortaleza, Ceará, Brasil",,
EEFM DOUTOR CÉSAR CALS,"AVENIDA DOMINGOS OLIMPIO 1800 - FARIAS BRITO, Fortaleza, Ceará, Brasil",-3.7335729,-38.5392743
